timestamp_utc,source_revision,build_type,compiler,os,cpu,ram_bytes,thread_settings,batch_size,seed,sampling,model,model_checksum,precision,mode,prompt_tokens,generated_tokens,decode_tokens,warmups,repeats,inner_iterations,median_ttft_ms,median_decode_ms,decode_tokens_per_sec,persistent_kv_bytes,process_peak_memory,command
"2026-08-17T11:35:40Z","unversioned-workspace","Release","MSVC 194435211","Windows","Intel64 Family 6 Model 154 Stepping 4, GenuineIntel","33986252800","single-threaded-scalar",1,0,"greedy-temperature-0-top-k-0","dummy.tserve","fnv1a64:446d80c55fbd6f0a","float32","no-cache",4,8,7,3,9,100,0.180137,2.548351,2746.874351,0,"not-measured","C:\Users\SamarthKukreja\Desktop\ai_agent_2026\masters_2027\masters_2027\tinyserve\build-nmake\tinyserve_bench.exe --model build-nmake\fixtures\dummy.tserve --output bench\results.csv --raw-output bench\raw_results.csv --prompt-tokens 4 --generated-tokens 8 --warmups 3 --repeats 9 --inner-iterations 100 --source-revision unversioned-workspace"
"2026-08-17T11:35:40Z","unversioned-workspace","Release","MSVC 194435211","Windows","Intel64 Family 6 Model 154 Stepping 4, GenuineIntel","33986252800","single-threaded-scalar",1,0,"greedy-temperature-0-top-k-0","dummy.tserve","fnv1a64:446d80c55fbd6f0a","float32","kv-cache",4,8,7,3,9,100,0.186669,0.360349,19425.612392,192,"not-measured","C:\Users\SamarthKukreja\Desktop\ai_agent_2026\masters_2027\masters_2027\tinyserve\build-nmake\tinyserve_bench.exe --model build-nmake\fixtures\dummy.tserve --output bench\results.csv --raw-output bench\raw_results.csv --prompt-tokens 4 --generated-tokens 8 --warmups 3 --repeats 9 --inner-iterations 100 --source-revision unversioned-workspace"
